27,7,5,46,38,8
32,3,26,1,9,1
33,7,25,20,30,3
8,6,24,11,45,2
2,6,34,18,24,2
31,38,23,47,8,9
40,6,17,10,24,8
42,46,43,27,20,9
11,25,34,47,26,8
33,43,35,42,23,6
33,39,15,30,32,4
37,41,33,29,2,9
8,43,4,25,21,9
9,3,31,21,22,10
23,5,32,44,3,8
32,4,6,45,35,6
4,1,39,38,23,3
17,13,12,30,15,10
46,30,6,5,47,5
30,43,18,12,35,6
41,32,33,27,47,4
14,36,21,6,24,1
35,43,33,34,22,10
23,17,22,18,29,7
18,7,13,20,31,8
3,32,34,15,28,5
17,32,12,27,43,3
38,19,8,32,15,9
45,37,11,29,2,6
43,39,47,12,15,5
24,15,37,18,9,7
44,14,22,5,33,5
26,7,23,9,10,1
24,9,31,1,36,8
1,17,39,30,3,5
10,19,2,8,24,9
3,35,12,43,13,1
29,38,31,34,18,1
19,28,24,39,32,9
25,37,34,31,3,6
45,12,11,36,10,8
22,8,40,5,21,10
43,30,42,22,13,5
16,6,23,30,28,7
4,38,41,7,20,5
28,2,19,23,18,3
29,11,9,24,36,6
28,35,13,8,29,10
28,44,8,27,12,9
26,21,38,31,10,9
13,11,45,14,10,3
11,36,43,37,16,9
